  ,COMMESSA,ORE
  ,"          IMBA  "" IMBALLAGGIO""",36.45
  ,"          NEST  "" TAGLIO / NESTING""",5.96
  ,"          PIEG  "" PIEGATURA""",35.99
  ,"          PROG  "" PROGETTAZIONE""",19.77
  ,"          SALD  "" SALDATURA""",13.86
  ,"     25/092  ""ZEUS ELECTROSTATIC SYSTEM SRL""",0.95
  ,"          PIEG  "" PIEGATURA""",0.95
  ,"     25/093  ""MECA TECHNOLOGY SRL""",19.73
  ,"          IMBA  "" IMBALLAGGIO""",3.26
  ,"          NEST  "" TAGLIO / NESTING""",0.47
  ,"          PIEG  "" PIEGATURA""",8.62
  ,"          PROG  "" PROGETTAZIONE""",5.25
  ,"          SALD  "" SALDATURA""",2.13
  ,"     25/094  ""RIAM ASCENSORI SRL""",55.59
  ,"          IMBA  "" IMBALLAGGIO""",18.13
  ,"          NEST  "" TAGLIO / NESTING""",6.46
  ,"          PIEG  "" PIEGATURA""",18.22
  ,"          PROG  "" PROGETTAZIONE""",11.27
  ,"          SALD  "" SALDATURA""",1.51
  ,"     25/095  ""RIAM ASCENSORI SRL""",108.58
  ,"          IMBA  "" IMBALLAGGIO""",13.39
  ,"          NEST  "" TAGLIO / NESTING""",14.48
  ,"          PIEG  "" PIEGATURA""",20.54
  ,"          PROG  "" PROGETTAZIONE""",54.38
  ,"          SALD  "" SALDATURA""",5.79
  ,"     25/096  ""SOCIETA' ITALIANA ASCENSORI SRL""",134.09
  ,"          IMBA  "" IMBALLAGGIO""",21.26
  ,"          NEST  "" TAGLIO / NESTING""",2.4
  ,"          PIEG  "" PIEGATURA""",21.31
  ,"          PROG  "" PROGETTAZIONE""",47.26
  ,"          SALD  "" SALDATURA""",41.86
  ,"     25/098  ""ARE SRL""",38.64
  ,"          IMBA  "" IMBALLAGGIO""",15.57
  ,"          NEST  "" TAGLIO / NESTING""",1.36
  ,"          PIEG  "" PIEGATURA""",9.24
  ,"          PROG  "" PROGETTAZIONE""",10.42
  ,"          SALD  "" SALDATURA""",2.05
  ,"     25/099  ""ARE SRL""",36.24
  ,"          IMBA  "" IMBALLAGGIO""",9.73
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",11.52
  ,"          PROG  "" PROGETTAZIONE""",9.46
  ,"          SALD  "" SALDATURA""",4.53
  ,"     25/100  ""ARE SRL""",49.6
  ,"          IMBA  "" IMBALLAGGIO""",3.75
  ,"          NEST  "" TAGLIO / NESTING""",2.48
  ,"          PIEG  "" PIEGATURA""",12.21
  ,"          PROG  "" PROGETTAZIONE""",30.64
  ,"          SALD  "" SALDATURA""",0.52
  ,"     25/101  ""ARE SRL""",31.02
  ,"          IMBA  "" IMBALLAGGIO""",5.93
  ,"          NEST  "" TAGLIO / NESTING""",1.65
  ,"          PIEG  "" PIEGATURA""",7.05
  ,"          PROG  "" PROGETTAZIONE""",6.77
  ,"          SALD  "" SALDATURA""",9.62
  ,"     25/102  ""ARE SRL""",37.23
  ,"          IMBA  "" IMBALLAGGIO""",9.57
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",12.67
  ,"          PROG  "" PROGETTAZIONE""",13.99
  ,"     25/103  ""ARE SRL""",29.26
  ,"          IMBA  "" IMBALLAGGIO""",9.39
  ,"          NEST  "" TAGLIO / NESTING""",2.78
  ,"          PIEG  "" PIEGATURA""",9.53
  ,"          PROG  "" PROGETTAZIONE""",5.18
  ,"          SALD  "" SALDATURA""",2.38
  ,"     25/104  ""ARE SRL""",30.22
  ,"          IMBA  "" IMBALLAGGIO""",7.57
  ,"          NEST  "" TAGLIO / NESTING""",2.87
  ,"          PIEG  "" PIEGATURA""",8.46
