  ,COMMESSA,ORE
  ,"          PROG  "" PROGETTAZIONE""",12.48
  ,"          SALD  "" SALDATURA""",5.35
  ,"     25/477  ""OMA SNC""",35.44
  ,"          IMBA  "" IMBALLAGGIO""",6.71
  ,"          NEST  "" TAGLIO / NESTING""",0.76
  ,"          PIEG  "" PIEGATURA""",9.86
  ,"          PROD  "" PRODUZIONE""",2.33
  ,"          PROG  "" PROGETTAZIONE""",11.93
  ,"          SALD  "" SALDATURA""",3.85
  ,"     25/478  ""ALBERI ASCENSORI SRL""",59.56
  ,"          IMBA  "" IMBALLAGGIO""",12.07
  ,"          NEST  "" TAGLIO / NESTING""",3.23
  ,"          PIEG  "" PIEGATURA""",7.16
  ,"          PROG  "" PROGETTAZIONE""",31.3
  ,"          SALD  "" SALDATURA""",5.8
  ,"     25/479  ""ALICRON SRL""",42.12
  ,"          IMBA  "" IMBALLAGGIO""",9.18
  ,"          NEST  "" TAGLIO / NESTING""",2.41
  ,"          PIEG  "" PIEGATURA""",9.62
  ,"          PROG  "" PROGETTAZIONE""",13.49
  ,"          SALD  "" SALDATURA""",7.42
  ,"     25/480  ""STAR LIFT SRL""",44.09
  ,"          IMBA  "" IMBALLAGGIO""",7.25
  ,"          NEST  "" TAGLIO / NESTING""",1.79
  ,"          PIEG  "" PIEGATURA""",14.3
  ,"          PROG  "" PROGETTAZIONE""",16.18
  ,"          SALD  "" SALDATURA""",4.57
  ,"     25/481  ""ARE SRL""",46.66
  ,"          IMBA  "" IMBALLAGGIO""",11.56
  ,"          NEST  "" TAGLIO / NESTING""",5.95
  ,"          PIEG  "" PIEGATURA""",8.34
  ,"          PROD  "" PRODUZIONE""",1.08
  ,"          PROG  "" PROGETTAZIONE""",15.17
  ,"          SALD  "" SALDATURA""",4.56
  ,"     25/482  ""ARE SRL""",38.46
  ,"          IMBA  "" IMBALLAGGIO""",10.59
  ,"          NEST  "" TAGLIO / NESTING""",7.27
  ,"          PIEG  "" PIEGATURA""",8.63
  ,"          PROG  "" PROGETTAZIONE""",6.79
  ,"          SALD  "" SALDATURA""",5.18
  ,"     25/483  ""ARE SRL""",39.97
  ,"          IMBA  "" IMBALLAGGIO""",8.19
  ,"          NEST  "" TAGLIO / NESTING""",5.37
  ,"          PIEG  "" PIEGATURA""",11.15
  ,"          PROG  "" PROGETTAZIONE""",12.89
  ,"          SALD  "" SALDATURA""",2.37
  ,"     25/484  ""ARE SRL""",42.85
  ,"          IMBA  "" IMBALLAGGIO""",10.67
  ,"          NEST  "" TAGLIO / NESTING""",4.65
  ,"          PIEG  "" PIEGATURA""",8.84
  ,"          PROG  "" PROGETTAZIONE""",14.82
  ,"          SALD  "" SALDATURA""",3.87
  ,"     25/485  ""ARE SRL""",67.67
  ,"          IMBA  "" IMBALLAGGIO""",11.69
  ,"          NEST  "" TAGLIO / NESTING""",4.49
  ,"          PIEG  "" PIEGATURA""",20.47
  ,"          PROG  "" PROGETTAZIONE""",26.08
  ,"          SALD  "" SALDATURA""",4.94
  ,"     25/486  ""ARE SRL""",29.64
  ,"          IMBA  "" IMBALLAGGIO""",5.39
  ,"          NEST  "" TAGLIO / NESTING""",6.44
  ,"          PIEG  "" PIEGATURA""",7.95
  ,"          PROG  "" PROGETTAZIONE""",5.68
  ,"          SALD  "" SALDATURA""",4.18
  ,"     25/487  ""ARE SRL""",38.14
  ,"          IMBA  "" IMBALLAGGIO""",5.84
  ,"          NEST  "" TAGLIO / NESTING""",5.33
  ,"          PIEG  "" PIEGATURA""",9.15
  ,"          PROD  "" PRODUZIONE""",0.64
  ,"          PROG  "" PROGETTAZIONE""",10.95
  ,"          SALD  "" SALDATURA""",6.23
  ,"     25/488  ""ARE SRL""",33.59
  ,"          IMBA  "" IMBALLAGGIO""",9.55
  ,"          NEST  "" TAGLIO / NESTING""",7.07
  ,"          PIEG  "" PIEGATURA""",8.35
  ,"          PROG  "" PROGETTAZIONE""",6.06
  ,"          SALD  "" SALDATURA""",2.56
  ,"     25/489  ""RONCO ASCENSORI SRL""",69.79
  ,"          IMBA  "" IMBALLAGGIO""",12.55
  ,"          NEST  "" TAGLIO / NESTING""",5.99
  ,"          PIEG  "" PIEGATURA""",14.71
  ,"          PROD  "" PRODUZIONE""",0.3
  ,"          PROG  "" PROGETTAZIONE""",30.24
  ,"          SALD  "" SALDATURA""",6.0
  ,"     25/490  ""BULGHERINI PU""",108.58
  ,"          IMBA  "" IMBALLAGGIO""",21.91
  ,"          NEST  "" TAGLIO / NESTING""",12.14
  ,"          PIEG  "" PIEGATURA""",18.21
  ,"          PROD  "" PRODUZIONE""",2.0
  ,"          PROG  "" PROGETTAZIONE""",34.15
  ,"          SALD  "" SALDATURA""",20.17
  ,"     25/491  ""BULGHERINI PU""",84.12
  ,"          IMBA  "" IMBALLAGGIO""",17.6
  ,"          NEST  "" TAGLIO / NESTING""",10.99
  ,"          PIEG  "" PIEGATURA""",22.32
  ,"          PROD  "" PRODUZIONE""",2.0
  ,"          PROG  "" PROGETTAZIONE""",14.36
  ,"          SALD  "" SALDATURA""",16.85
  ,"     25/492  ""BREMBO ASCENSORI SRL""",115.3
  ,"          IMBA  "" IMBALLAGGIO""",20.78
  ,"          NEST  "" TAGLIO / NESTING""",5.71
  ,"          PIEG  "" PIEGATURA""",29.04
  ,"          PROD  "" PRODUZIONE""",0.65
  ,"          PROG  "" PROGETTAZIONE""",45.96
  ,"          SALD  "" SALDATURA""",13.16
  ,"     25/493  ""ALBERI ASCENSORI SRL""",65.0
  ,"          IMBA  "" IMBALLAGGIO""",16.14
  ,"          NEST  "" TAGLIO / NESTING""",5.79
  ,"          PIEG  "" PIEGATURA""",13.5
  ,"          PROG  "" PROGETTAZIONE""",23.35
  ,"          SALD  "" SALDATURA""",6.22
  ,"     25/494  ""SELE LIFT SRL""",50.25
  ,"          IMBA  "" IMBALLAGGIO""",11.29
  ,"          NEST  "" TAGLIO / NESTING""",11.24
  ,"          PIEG  "" PIEGATURA""",8.04
  ,"          PROG  "" PROGETTAZIONE""",15.86
  ,"          SALD  "" SALDATURA""",3.82
  ,"     25/496  ""JAM SRL""",23.58
  ,"          IMBA  "" IMBALLAGGIO""",0.88
  ,"          NEST  "" TAGLIO / NESTING""",2.7
  ,"          PIEG  "" PIEGATURA""",11.33
  ,"          PROG  "" PROGETTAZIONE""",6.12
  ,"          SALD  "" SALDATURA""",2.55
  ,"     25/497  ""ARE SRL""",37.36
  ,"          IMBA  "" IMBALLAGGIO""",4.41
  ,"          NEST  "" TAGLIO / NESTING""",6.9
  ,"          PIEG  "" PIEGATURA""",14.19
  ,"          PROG  "" PROGETTAZIONE""",6.48
  ,"          SALD  "" SALDATURA""",5.38
  ,"     25/498  ""SCHINDLER SPA""",2.52
  ,"          IMBA  "" IMBALLAGGIO""",0.87
  ,"          NEST  "" TAGLIO / NESTING""",0.35
  ,"          PIEG  "" PIEGATURA""",1.3
  ,"     25/499  ""BARBIERI ENZO E FIGLIO SRL""",28.07
  ,"          IMBA  "" IMBALLAGGIO""",9.13
  ,"          NEST  "" TAGLIO / NESTING""",3.17
  ,"          PIEG  "" PIEGATURA""",11.47
  ,"          PROG  "" PROGETTAZIONE""",2.27
  ,"          SALD  "" SALDATURA""",2.03
  ,"     25/500  ""BULGHERINI PU""",19.9
  ,"          IMBA  "" IMBALLAGGIO""",7.48
  ,"          NEST  "" TAGLIO / NESTING""",3.8
  ,"          PIEG  "" PIEGATURA""",3.39
  ,"          PROG  "" PROGETTAZIONE""",5.23
  ,"     25/501  ""BULGHERINI PU""",15.46
  ,"          IMBA  "" IMBALLAGGIO""",1.87
  ,"          NEST  "" TAGLIO / NESTING""",4.33
  ,"          PIEG  "" PIEGATURA""",6.97
  ,"          PROD  "" PRODUZIONE""",2.29
  ,"     25/502  ""AMCA ELEVATORI SRL A SOCIO UNICO""",56.53
  ,"          IMBA  "" IMBALLAGGIO""",14.87
  ,"          NEST  "" TAGLIO / NESTING""",5.15
  ,"          PIEG  "" PIEGATURA""",18.16
  ,"          PROG  "" PROGETTAZIONE""",10.85
  ,"          SALD  "" SALDATURA""",7.5
  ,"     25/503  ""PAPILLO ASCENSORI SRL""",49.77
  ,"          IMBA  "" IMBALLAGGIO""",7.38
  ,"          NEST  "" TAGLIO / NESTING""",1.56
  ,"          PIEG  "" PIEGATURA""",8.86
  ,"          PROD  "" PRODUZIONE""",3.74
  ,"          PROG  "" PROGETTAZIONE""",24.9
  ,"          SALD  "" SALDATURA""",3.33
  ,"     25/504  ""TRR SOLUTIONS SRL""",62.29
  ,"          IMBA  "" IMBALLAGGIO""",7.85
  ,"          NEST  "" TAGLIO / NESTING""",7.42
  ,"          PIEG  "" PIEGATURA""",13.91
  ,"          PROG  "" PROGETTAZIONE""",26.85
  ,"          SALD  "" SALDATURA""",6.26
  ,"     25/505  ""TRR SOLUTIONS SRL""",62.0
  ,"          IMBA  "" IMBALLAGGIO""",14.8
  ,"          NEST  "" TAGLIO / NESTING""",5.09
  ,"          PIEG  "" PIEGATURA""",5.36
  ,"          PROG  "" PROGETTAZIONE""",12.62
  ,"          SALD  "" SALDATURA""",24.13
  ,"     25/506  ""TRR SOLUTIONS SRL""",48.69
  ,"          IMBA  "" IMBALLAGGIO""",13.58
  ,"          NEST  "" TAGLIO / NESTING""",4.91
  ,"          PIEG  "" PIEGATURA""",6.05
  ,"          PROG  "" PROGETTAZIONE""",12.67
  ,"          SALD  "" SALDATURA""",11.48
  ,"     25/507  ""TRR SOLUTIONS SRL""",59.23
  ,"          IMBA  "" IMBALLAGGIO""",15.97
  ,"          NEST  "" TAGLIO / NESTING""",12.82
  ,"          PIEG  "" PIEGATURA""",11.01
  ,"          PROG  "" PROGETTAZIONE""",9.25
  ,"          SALD  "" SALDATURA""",10.18
  ,"     25/508  ""SAT SRL""",195.1
  ,"          IMBA  "" IMBALLAGGIO""",85.84
  ,"          NEST  "" TAGLIO / NESTING""",10.88
  ,"          PIEG  "" PIEGATURA""",42.12
  ,"          PROG  "" PROGETTAZIONE""",4.5
  ,"          SALD  "" SALDATURA""",51.76
  ,"     25/509  ""GRUPPO OCMA SRL""",16.24
  ,"          IMBA  "" IMBALLAGGIO""",4.32
  ,"          NEST  "" TAGLIO / NESTING""",1.15
  ,"          PIEG  "" PIEGATURA""",3.01
  ,"          PROG  "" PROGETTAZIONE""",4.75
  ,"          SALD  "" SALDATURA""",3.01
  ,"     25/510  ""ARE SRL""",40.5
  ,"          IMBA  "" IMBALLAGGIO""",7.86
  ,"          NEST  "" TAGLIO / NESTING""",8.4
  ,"          PIEG  "" PIEGATURA""",11.84
  ,"          PROG  "" PROGETTAZIONE""",5.6
  ,"          SALD  "" SALDATURA""",6.8
  ,"     25/511  ""ARE SRL""",39.13
  ,"          IMBA  "" IMBALLAGGIO""",6.34
  ,"          NEST  "" TAGLIO / NESTING""",5.09
  ,"          PIEG  "" PIEGATURA""",9.72
  ,"          PROG  "" PROGETTAZIONE""",13.95
  ,"          SALD  "" SALDATURA""",4.03
  ,"     25/512  ""ARE SRL""",26.19
  ,"          IMBA  "" IMBALLAGGIO""",8.06
  ,"          NEST  "" TAGLIO / NESTING""",3.4
  ,"          PIEG  "" PIEGATURA""",5.89
  ,"          PROG  "" PROGETTAZIONE""",7.32
  ,"          SALD  "" SALDATURA""",1.52
  ,"     25/513  ""ARE SRL""",22.07
  ,"          IMBA  "" IMBALLAGGIO""",4.09
  ,"          NEST  "" TAGLIO / NESTING""",7.38
  ,"          PIEG  "" PIEGATURA""",7.25
  ,"          PROG  "" PROGETTAZIONE""",2.22
  ,"          SALD  "" SALDATURA""",1.13
  ,"     25/514  ""ARE SRL""",74.6
  ,"          IMBA  "" IMBALLAGGIO""",8.78
  ,"          NEST  "" TAGLIO / NESTING""",5.01
  ,"          PIEG  "" PIEGATURA""",9.34
  ,"          PROD  "" PRODUZIONE""",1.43
  ,"          PROG  "" PROGETTAZIONE""",42.12
  ,"          SALD  "" SALDATURA""",7.92
  ,"     25/515  ""ARE SRL""",26.56
  ,"          IMBA  "" IMBALLAGGIO""",7.14
  ,"          NEST  "" TAGLIO / NESTING""",1.0
  ,"          PIEG  "" PIEGATURA""",9.43
  ,"          PROG  "" PROGETTAZIONE""",4.16
  ,"          SALD  "" SALDATURA""",4.83
  ,"     25/516  ""ARE SRL""",65.48
  ,"          IMBA  "" IMBALLAGGIO""",7.58
  ,"          NEST  "" TAGLIO / NESTING""",4.31
  ,"          PIEG  "" PIEGATURA""",11.34
  ,"          PROG  "" PROGETTAZIONE""",40.63
  ,"          SALD  "" SALDATURA""",1.62
  ,"     25/517  ""ARE SRL""",39.58
  ,"          IMBA  "" IMBALLAGGIO""",8.92
  ,"          NEST  "" TAGLIO / NESTING""",4.21
  ,"          PIEG  "" PIEGATURA""",7.73
  ,"          PROG  "" PROGETTAZIONE""",15.74
  ,"          SALD  "" SALDATURA""",2.98
  ,"     25/518  ""ARE SRL""",44.2
  ,"          IMBA  "" IMBALLAGGIO""",10.16
  ,"          NEST  "" TAGLIO / NESTING""",4.71
  ,"          PIEG  "" PIEGATURA""",12.22
  ,"          PROG  "" PROGETTAZIONE""",10.43
  ,"          SALD  "" SALDATURA""",6.68
  ,"     25/519  ""RIFASA LIFT SRL""",58.1
  ,"          IMBA  "" IMBALLAGGIO""",6.7
  ,"          NEST  "" TAGLIO / NESTING""",7.01
  ,"          PIEG  "" PIEGATURA""",9.46
  ,"          PROD  "" PRODUZIONE""",1.62
  ,"          PROG  "" PROGETTAZIONE""",26.31
  ,"          SALD  "" SALDATURA""",7.0
  ,"     25/520  ""MAGRI ASCENSORI SRL""",140.14
  ,"          IMBA  "" IMBALLAGGIO""",11.74
  ,"          NEST  "" TAGLIO / NESTING""",10.28
  ,"          PIEG  "" PIEGATURA""",16.48
  ,"          PROD  "" PRODUZIONE""",0.57
  ,"          PROG  "" PROGETTAZIONE""",84.77
  ,"          SALD  "" SALDATURA""",16.3
  ,"     25/521  ""BIME ELEVATORI SRL""",40.44
  ,"          IMBA  "" IMBALLAGGIO""",6.62
  ,"          NEST  "" TAGLIO / NESTING""",5.29
  ,"          PIEG  "" PIEGATURA""",6.75
  ,"          PROD  "" PRODUZIONE""",0.22
  ,"          PROG  "" PROGETTAZIONE""",18.76
  ,"          SALD  "" SALDATURA""",2.8
  ,"     25/522  ""VIMA ASCENSORI SRL""",29.14
  ,"          IMBA  "" IMBALLAGGIO""",5.12
  ,"          NEST  "" TAGLIO / NESTING""",2.64
  ,"          PIEG  "" PIEGATURA""",11.23
  ,"          PROG  "" PROGETTAZIONE""",8.04
  ,"          SALD  "" SALDATURA""",2.11
  ,"     25/523  ""KONE SPA""",73.81
  ,"          IMBA  "" IMBALLAGGIO""",19.25
  ,"          NEST  "" TAGLIO / NESTING""",15.83
  ,"          PIEG  "" PIEGATURA""",11.56
  ,"          PROG  "" PROGETTAZIONE""",12.92
  ,"          SALD  "" SALDATURA""",14.25
  ,"     25/525  ""SCHINDLER SPA""",6.68
  ,"          IMBA  "" IMBALLAGGIO""",0.52
  ,"          NEST  "" TAGLIO / NESTING""",1.07
  ,"          PIEG  "" PIEGATURA""",3.59
  ,"          PROG  "" PROGETTAZIONE""",1.0
  ,"          SALD  "" SALDATURA""",0.5
  ,"     25/526  ""SCHINDLER SPA""",0.13
  ,"          IMBA  "" IMBALLAGGIO""",0.13
  ,"     25/527  ""ESA ELECOMP SERVIZI ASCENSORI SRL""",0.13
  ,"          IMBA  "" IMBALLAGGIO""",0.13
  ,"     25/528  ""CENTER LIFT SRL""",26.2
  ,"          IMBA  "" IMBALLAGGIO""",5.57
  ,"          NEST  "" TAGLIO / NESTING""",4.36
  ,"          PIEG  "" PIEGATURA""",8.7
  ,"          PROG  "" PROGETTAZIONE""",4.81
  ,"          SALD  "" SALDATURA""",2.76
  ,"     25/529  ""ARE SRL""",36.33
  ,"          IMBA  "" IMBALLAGGIO""",9.51
  ,"          NEST  "" TAGLIO / NESTING""",7.5
  ,"          PIEG  "" PIEGATURA""",11.14
  ,"          PROG  "" PROGETTAZIONE""",5.98
  ,"          SALD  "" SALDATURA""",2.2
  ,"     25/530  ""SCHINDLER SPA""",16.52
  ,"          IMBA  "" IMBALLAGGIO""",0.27
  ,"          NEST  "" TAGLIO / NESTING""",2.51
  ,"          PIEG  "" PIEGATURA""",5.52
  ,"          PROG  "" PROGETTAZIONE""",1.35
  ,"          SALD  "" SALDATURA""",6.87
  ,"     25/531  ""PAN LIFT DOO""",52.13
  ,"          IMBA  "" IMBALLAGGIO""",8.88
  ,"          NEST  "" TAGLIO / NESTING""",3.78
  ,"          PIEG  "" PIEGATURA""",16.49
  ,"          PROG  "" PROGETTAZIONE""",16.71
  ,"          SALD  "" SALDATURA""",6.27
  ,"     25/532  ""ARE SRL""",25.99
  ,"          IMBA  "" IMBALLAGGIO""",5.11
  ,"          NEST  "" TAGLIO / NESTING""",3.11
  ,"          PIEG  "" PIEGATURA""",10.45
  ,"          PROG  "" PROGETTAZIONE""",4.65
  ,"          SALD  "" SALDATURA""",2.67
  ,"     25/533  ""ARE SRL""",34.63
  ,"          IMBA  "" IMBALLAGGIO""",12.92
  ,"          NEST  "" TAGLIO / NESTING""",5.93
  ,"          PIEG  "" PIEGATURA""",9.36
  ,"          PROG  "" PROGETTAZIONE""",4.85
  ,"          SALD  "" SALDATURA""",1.57
  ,"     25/534  ""ARE SRL""",34.44
  ,"          IMBA  "" IMBALLAGGIO""",8.55
  ,"          NEST  "" TAGLIO / NESTING""",2.17
  ,"          PIEG  "" PIEGATURA""",10.37
  ,"          PROG  "" PROGETTAZIONE""",9.52
  ,"          SALD  "" SALDATURA""",3.83
  ,"     25/535  ""ARE SRL""",44.66
  ,"          IMBA  "" IMBALLAGGIO""",5.87
  ,"          NEST  "" TAGLIO / NESTING""",3.18
  ,"          PIEG  "" PIEGATURA""",8.6
  ,"          PROD  "" PRODUZIONE""",0.02
  ,"          PROG  "" PROGETTAZIONE""",20.96
  ,"          SALD  "" SALDATURA""",6.03
  ,"     25/536  ""ARE SRL""",57.09
  ,"          IMBA  "" IMBALLAGGIO""",9.93
  ,"          NEST  "" TAGLIO / NESTING""",3.87
  ,"          PIEG  "" PIEGATURA""",12.9
  ,"          PROD  "" PRODUZIONE""",4.85
  ,"          PROG  "" PROGETTAZIONE""",8.05
  ,"          SALD  "" SALDATURA""",17.49
  ,"     25/537  ""ELECTRO-LIFT SRL""",45.27
  ,"          IMBA  "" IMBALLAGGIO""",8.32
  ,"          NEST  "" TAGLIO / NESTING""",5.6
  ,"          PIEG  "" PIEGATURA""",5.25
  ,"          PROD  "" PRODUZIONE""",0.59
  ,"          PROG  "" PROGETTAZIONE""",19.88
  ,"          SALD  "" SALDATURA""",5.63
  ,"     25/538  ""SAT SRL""",0.85
  ,"          IMBA  "" IMBALLAGGIO""",0.23
  ,"          SALD  "" SALDATURA""",0.62
  ,"     25/539  ""SAT SRL""",119.23
  ,"          IMBA  "" IMBALLAGGIO""",52.92
  ,"          NEST  "" TAGLIO / NESTING""",7.23
  ,"          PIEG  "" PIEGATURA""",27.61
  ,"          PROG  "" PROGETTAZIONE""",6.0
  ,"          SALD  "" SALDATURA""",25.47
  ,"     25/540  ""RIFASA LIFT SRL""",78.84
  ,"          IMBA  "" IMBALLAGGIO""",10.99
  ,"          NEST  "" TAGLIO / NESTING""",1.63
  ,"          PIEG  "" PIEGATURA""",14.91
  ,"          PROG  "" PROGETTAZIONE""",45.91
  ,"          SALD  "" SALDATURA""",5.4
  ,"     25/541  ""NEULIFT SPA""",76.02
  ,"          IMBA  "" IMBALLAGGIO""",10.57
  ,"          NEST  "" TAGLIO / NESTING""",8.33
  ,"          PIEG  "" PIEGATURA""",17.05
  ,"          PROD  "" PRODUZIONE""",4.25
  ,"          PROG  "" PROGETTAZIONE""",20.07
  ,"          SALD  "" SALDATURA""",15.75
  ,"     25/542  ""RIAM ASCENSORI SRL""",3.4
  ,"          PIEG  "" PIEGATURA""",3.4
  ,"     25/543  ""SAT SRL""",80.05
  ,"          IMBA  "" IMBALLAGGIO""",21.01
  ,"          NEST  "" TAGLIO / NESTING""",9.44
  ,"          PIEG  "" PIEGATURA""",11.96
  ,"          SALD  "" SALDATURA""",37.64
  ,"     25/545  ""LSR-TECH""",0.0
  ,"          NEST  "" TAGLIO / NESTING""",0.0
  ,"     25/546  ""SAT SRL""",0.25
  ,"          IMBA  "" IMBALLAGGIO""",0.25
  ,"     25/547  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",1.17
  ,"          IMBA  "" IMBALLAGGIO""",1.1
  ,"          PIEG  "" PIEGATURA""",0.07
  ,"     25/548  ""SELE LIFT SRL""",48.88
  ,"          IMBA  "" IMBALLAGGIO""",9.32
  ,"          NEST  "" TAGLIO / NESTING""",5.31
  ,"          PIEG  "" PIEGATURA""",15.14
  ,"          PROD  "" PRODUZIONE""",0.48
  ,"          PROG  "" PROGETTAZIONE""",12.6
  ,"          SALD  "" SALDATURA""",6.03
  ,"     25/549  ""SELE LIFT SRL""",53.06
  ,"          IMBA  "" IMBALLAGGIO""",7.14
  ,"          NEST  "" TAGLIO / NESTING""",9.42
  ,"          PIEG  "" PIEGATURA""",14.3
  ,"          PROG  "" PROGETTAZIONE""",18.56
  ,"          SALD  "" SALDATURA""",3.64
  ,"     25/550  ""RIAM ASCENSORI SRL""",47.47
  ,"          IMBA  "" IMBALLAGGIO""",3.13
  ,"          NEST  "" TAGLIO / NESTING""",9.09
  ,"          PIEG  "" PIEGATURA""",8.15
  ,"          PROD  "" PRODUZIONE""",3.75
  ,"          PROG  "" PROGETTAZIONE""",14.75
  ,"          SALD  "" SALDATURA""",8.6
  ,"     25/551  ""ARE SRL""",33.38
  ,"          IMBA  "" IMBALLAGGIO""",6.39
  ,"          NEST  "" TAGLIO / NESTING""",9.33
  ,"          PIEG  "" PIEGATURA""",6.45
  ,"          PROD  "" PRODUZIONE""",0.43
  ,"          PROG  "" PROGETTAZIONE""",7.63
  ,"          SALD  "" SALDATURA""",3.15
  ,"     25/552  ""ARE SRL""",33.06
  ,"          IMBA  "" IMBALLAGGIO""",9.27
  ,"          NEST  "" TAGLIO / NESTING""",1.51
  ,"          PIEG  "" PIEGATURA""",11.13
  ,"          PROD  "" PRODUZIONE""",3.17
  ,"          PROG  "" PROGETTAZIONE""",6.54
  ,"          SALD  "" SALDATURA""",1.44
  ,"     25/553  ""ARE SRL""",56.84
  ,"          IMBA  "" IMBALLAGGIO""",9.79
  ,"          NEST  "" TAGLIO / NESTING""",4.12
  ,"          PIEG  "" PIEGATURA""",10.4
  ,"          PROD  "" PRODUZIONE""",1.7
  ,"          PROG  "" PROGETTAZIONE""",23.54
  ,"          SALD  "" SALDATURA""",7.29
  ,"     25/554  ""ARE SRL""",118.87
  ,"          IMBA  "" IMBALLAGGIO""",16.44
  ,"          NEST  "" TAGLIO / NESTING""",7.01
  ,"          PIEG  "" PIEGATURA""",11.14
  ,"          PROD  "" PRODUZIONE""",4.98
  ,"          PROG  "" PROGETTAZIONE""",74.24
  ,"          SALD  "" SALDATURA""",5.06
  ,"     25/555  ""ARE SRL""",49.85
  ,"          IMBA  "" IMBALLAGGIO""",12.55
  ,"          NEST  "" TAGLIO / NESTING""",5.03
  ,"          PIEG  "" PIEGATURA""",12.04
  ,"          PROD  "" PRODUZIONE""",7.19
  ,"          PROG  "" PROGETTAZIONE""",5.4
  ,"          SALD  "" SALDATURA""",7.64
  ,"     25/556  ""ARE SRL""",44.59
  ,"          IMBA  "" IMBALLAGGIO""",13.25
  ,"          NEST  "" TAGLIO / NESTING""",2.71
  ,"          PIEG  "" PIEGATURA""",18.26
  ,"          PROG  "" PROGETTAZIONE""",4.52
  ,"          SALD  "" SALDATURA""",5.85
  ,"     25/557  ""ARE SRL""",27.99
  ,"          IMBA  "" IMBALLAGGIO""",6.28
  ,"          NEST  "" TAGLIO / NESTING""",2.22
  ,"          PIEG  "" PIEGATURA""",13.55
  ,"          PROG  "" PROGETTAZIONE""",3.36
  ,"          SALD  "" SALDATURA""",2.58
  ,"     25/558  ""CENTER LIFT SRL""",3.2
  ,"          IMBA  "" IMBALLAGGIO""",0.43
  ,"          NEST  "" TAGLIO / NESTING""",1.47
  ,"          PIEG  "" PIEGATURA""",0.7
  ,"          PROG  "" PROGETTAZIONE""",0.6
  ,"     25/559  ""KONE SPA""",74.24
  ,"          IMBA  "" IMBALLAGGIO""",12.88
  ,"          NEST  "" TAGLIO / NESTING""",5.27
  ,"          PIEG  "" PIEGATURA""",24.76
  ,"          PROD  "" PRODUZIONE""",0.02
  ,"          PROG  "" PROGETTAZIONE""",23.24
  ,"          SALD  "" SALDATURA""",8.07
  ,"     25/561  ""MODESTO SRL""",46.43
  ,"          IMBA  "" IMBALLAGGIO""",8.61
  ,"          NEST  "" TAGLIO / NESTING""",4.35
  ,"          PIEG  "" PIEGATURA""",10.71
  ,"          PROG  "" PROGETTAZIONE""",9.66
  ,"          SALD  "" SALDATURA""",13.1
  ,"     25/562  ""RIAM ASCENSORI SRL""",96.4
  ,"          IMBA  "" IMBALLAGGIO""",16.02
  ,"          NEST  "" TAGLIO / NESTING""",6.91
  ,"          PIEG  "" PIEGATURA""",27.97
  ,"          PROD  "" PRODUZIONE""",0.65
  ,"          PROG  "" PROGETTAZIONE""",32.23
  ,"          SALD  "" SALDATURA""",12.62
  ,"     25/563  ""BIME ELEVATORI SRL""",111.08
  ,"          IMBA  "" IMBALLAGGIO""",13.68
  ,"          NEST  "" TAGLIO / NESTING""",17.79
  ,"          PIEG  "" PIEGATURA""",14.08
  ,"          PROD  "" PRODUZIONE""",3.65
  ,"          PROG  "" PROGETTAZIONE""",16.08
  ,"          SALD  "" SALDATURA""",45.8
  ,"     25/564  ""ARE SRL""",4.52
  ,"          IMBA  "" IMBALLAGGIO""",0.89
  ,"          NEST  "" TAGLIO / NESTING""",0.3
  ,"          PIEG  "" PIEGATURA""",0.42
  ,"          PROG  "" PROGETTAZIONE""",2.91
  ,"     25/565  ""PAPILLO ASCENSORI SRL""",48.63
  ,"          IMBA  "" IMBALLAGGIO""",10.87
  ,"          NEST  "" TAGLIO / NESTING""",6.21
  ,"          PIEG  "" PIEGATURA""",11.11
  ,"          PROG  "" PROGETTAZIONE""",14.4
  ,"          SALD  "" SALDATURA""",6.04
  ,"     25/567  ""VALMET TISSUE CONVERTING SPA""",0.17
  ,"          IMBA  "" IMBALLAGGIO""",0.17
  ,"     25/568  ""PANGEA SRL-GMBH""",68.46
  ,"          IMBA  "" IMBALLAGGIO""",13.33
  ,"          NEST  "" TAGLIO / NESTING""",15.86
  ,"          PIEG  "" PIEGATURA""",14.48
  ,"          PROD  "" PRODUZIONE""",0.32
  ,"          PROG  "" PROGETTAZIONE""",10.95
  ,"          SALD  "" SALDATURA""",13.52
  ,"     25/569  ""ARE SRL""",27.98
  ,"          IMBA  "" IMBALLAGGIO""",6.3
  ,"          NEST  "" TAGLIO / NESTING""",5.75
  ,"          PIEG  "" PIEGATURA""",7.14
  ,"          PROD  "" PRODUZIONE""",0.02
  ,"          PROG  "" PROGETTAZIONE""",5.95
  ,"          SALD  "" SALDATURA""",2.82
  ,"     25/570  ""ARE SRL""",53.72
  ,"          IMBA  "" IMBALLAGGIO""",12.02
  ,"          NEST  "" TAGLIO / NESTING""",4.65
  ,"          PIEG  "" PIEGATURA""",7.52
  ,"          PROD  "" PRODUZIONE""",14.45
  ,"          PROG  "" PROGETTAZIONE""",12.41
  ,"          SALD  "" SALDATURA""",2.67
  ,"     25/571  ""ARE SRL""",40.95
  ,"          IMBA  "" IMBALLAGGIO""",6.9
  ,"          NEST  "" TAGLIO / NESTING""",9.92
  ,"          PIEG  "" PIEGATURA""",11.69
  ,"          PROD  "" PRODUZIONE""",0.02
