Nr. Commessa,"IMBA  "" IMBALLAGGIO""","NEST  "" TAGLIO / NESTING""","PIEG  "" PIEGATURA""","PROD  "" PRODUZIONE""","PROG  "" PROGETTAZIONE""","SALD  "" SALDATURA""",Totale Ore
"25/702  ""DETTO SRL""",12.33,4.23,13.06,,7.03,8.51,45.16
"25/704  ""RIAM ASCENSORI SRL""",11.55,6.4,20.27,,17.32,8.48,64.02
"25/705  ""COMPAGNIA SIDERURGICA SPA""",81.19,35.7,31.03,0.73,136.05,88.66,373.36
"25/706  ""SCHINDLER SPA""",6.11,5.75,13.65,0.88,18.81,8.67,53.87
"25/707  ""ARE SRL""",10.7,1.38,10.52,,23.81,5.84,52.25
"25/708  ""ARE SRL""",4.29,5.83,6.56,,2.18,4.87,23.73
"25/709  ""KONE SPA""",9.11,5.07,16.93,1.12,5.4,10.98,48.61
"25/710  ""BULGHERINI MC""",2.61,,,,0.57,,3.18
"25/711  ""ARE SRL""",0.32,,,,,,0.32
"25/712  ""CENTER LIFT SRL""",0.45,,,,3.33,,3.78
"25/714  ""CONDOMINIO RESIA 74""",11.38,2.02,17.3,1.19,43.15,8.37,83.41
"25/715  ""BMP SRL""",8.25,6.26,17.94,,17.19,12.7,62.34
"25/716  ""DB ELEV SRL""",19.01,10.86,14.44,0.43,24.1,7.91,76.75
"25/717  ""MSM SRL""",8.22,3.42,7.53,0.71,12.37,6.94,39.19
"25/718  ""MSM SRL""",11.97,1.98,11.83,1.01,6.61,9.79,43.19
"25/719  ""MSM SRL""",19.14,3.35,17.99,1.23,10.96,8.56,61.23
"25/720  ""RIAM ASCENSORI SRL""",6.43,1.84,10.88,1.05,13.2,5.4,38.8
"25/723  ""ARE SRL""",13.7,9.26,15.84,,20.57,7.79,67.16
"25/724  ""ARE SRL""",5.95,3.3,16.7,,19.26,7.98,53.19
"25/725  ""ARE SRL""",7.65,13.87,7.43,1.16,12.61,4.89,47.61
"25/726  ""ARE SRL""",7.54,4.08,14.85,,12.2,9.25,47.92
"25/727  ""ARE SRL""",5.74,3.68,15.77,,16.46,7.74,49.39
"25/728  ""ARE SRL""",12.35,8.39,12.03,,16.52,9.22,58.51
"25/729  ""UPDINAMIC SRL""",11.24,11.33,15.35,0.44,21.11,21.55,81.02
"25/730  ""CARRARO ASCENSORI SRL""",5.71,3.35,15.4,0.4,20.45,6.1,51.41
"25/731  ""CARRARO ASCENSORI SRL""",6.95,2.02,9.19,1.1,13.38,5.03,37.67
"25/734  ""BULGHERINI PU""",0.95,1.24,2.55,,0.43,,5.17
"25/735  ""SCHINDLER SPA""",,1.02,0.4,,0.5,,1.92
"25/736  ""ALBERI ASCENSORI SRL""",7.52,5.58,9.39,0.81,18.06,8.43,49.79
"25/737  ""SELE LIFT SRL""",4.7,3.88,13.83,,6.03,5.65,34.09
"25/738  ""SELE LIFT SRL""",7.23,8.48,11.84,0.98,21.51,7.54,57.58
"25/740  ""RABENSTEINER BAU SRL""",6.57,2.02,9.69,0.93,23.56,3.87,46.64
"25/741  ""PETRARCA SRL""",2.15,7.1,6.78,,16.31,13.3,45.64
"25/742  ""USAPI SRL""",11.3,3.7,19.54,0.35,29.13,10.9,74.92
"25/744  ""FEREGOTTO ELEVATORI SRL""",1.2,4.17,4.77,0.57,7.91,2.72,21.34
"25/745  ""MBB ASCENSORI SRL""",35.31,7.97,47.89,4.41,45.55,18.21,159.34
"25/746  ""SCHINDLER SPA""",0.25,1.02,2.41,,0.38,4.57,8.63
"25/747  ""ARE SRL""",0.25,,0.72,,,,0.97
"25/748  ""DFV SRL""",,,3.62,0.2,,,3.82
"25/749  ""ARE SRL""",0.25,1.0,0.32,,,,1.57
"25/750  ""ARE SRL""",0.2,1.02,0.62,,,,1.84
"25/751  ""ARE SRL""",8.61,3.86,12.73,,14.1,6.23,45.53
"25/752  ""ARE SRL""",7.33,8.21,6.44,0.4,20.05,4.33,46.76
"25/753  ""ARE SRL""",6.87,5.58,9.39,,10.48,5.38,37.7
"25/754  ""ARE SRL""",5.61,7.93,7.61,0.59,20.25,7.28,49.27
"25/755  ""ARE SRL""",4.5,6.03,8.91,0.1,17.47,3.53,40.54
"25/756  ""ARE SRL""",9.03,9.98,22.81,,13.53,8.73,64.08
"25/757  ""ARE SRL""",6.54,3.43,8.66,0.83,14.16,5.01,38.63
"25/758  ""ARE SRL""",12.9,2.49,13.54,2.82,8.13,10.47,50.35
"25/759  ""RIAM ASCENSORI SRL""",0.03,,,,,,0.03
"25/761  ""SCHINDLER SPA""",,1.0,1.28,,0.5,,2.78
"25/762  ""SCHINDLER SPA""",,1.52,2.1,,,,3.62
"25/763  ""FAMA SRL""",14.89,4.44,16.43,0.25,6.0,12.48,54.49
"25/764  ""BAVARIA LIFTTECHNIK GMBH""",5.65,1.8,9.59,1.82,18.67,4.63,42.16
"25/765  ""FALCO ASCENSORI SRL""",11.21,2.74,9.42,0.61,10.6,3.26,37.84
"25/768  ""PAPILLO ASCENSORI SRL""",7.28,4.25,9.01,0.83,8.54,8.57,38.48
"25/769  ""ARE SRL""",4.01,2.05,11.81,,1.0,7.14,26.01
"25/772  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",0.03,,,,,,0.03
"25/774  ""GRUPPO OCMA SRL""",3.14,3.1,4.38,0.41,9.9,2.0,22.93
"25/775  ""SOITAAB IMPIANTI SRL""",16.02,3.23,14.12,1.38,31.5,5.6,71.85
"25/776  ""ARE SRL""",9.65,5.61,7.97,1.13,40.49,10.35,75.2
"25/777  ""ARE SRL""",9.7,7.65,10.78,0.4,39.69,11.98,80.2
"25/778  ""ARE SRL""",6.97,3.0,5.0,1.63,12.52,6.67,35.79
"25/779  ""RIAM ASCENSORI SRL""",0.6,,,,,,0.6
"25/780  ""ARE SRL""",10.36,6.2,13.1,0.79,12.15,3.36,45.96
"25/781  ""VENETA21 SRL""",8.81,6.5,16.46,,7.4,11.63,50.8
"25/782  ""ERIGO SRL""",2.68,,,0.31,,8.17,11.16
"25/783  ""ARE SRL""",0.13,,,,4.41,,4.54
"25/784  ""ARE SRL""",8.18,8.26,2.89,0.9,20.18,3.2,43.61
"25/785  ""ARE SRL""",9.02,8.34,7.54,0.85,12.97,7.62,46.34
"25/786  ""ARE SRL""",4.17,3.56,7.65,1.12,21.31,2.03,39.84
"25/787  ""ARE SRL""",6.09,6.17,8.02,0.59,8.25,4.83,33.95
"25/788  ""ARE SRL""",9.19,4.38,9.64,0.78,21.26,3.15,48.4
"25/789  ""ARE SRL""",6.72,6.07,10.53,1.05,16.77,4.25,45.39
"25/790  ""ARE SRL""",9.72,7.34,10.56,1.13,16.89,6.4,52.04
"25/791  ""ARE SRL""",4.13,12.9,9.13,0.62,56.16,3.77,86.71
"25/792  ""ARE SRL""",0.87,,3.41,,1.05,,5.33
"25/793  ""LUX IMPIANTI DI NICOLAS FABBRI""",9.95,5.32,14.4,1.75,15.84,9.34,56.6
"25/794  ""VIMA ASCENSORI SRL""",8.78,4.33,8.28,2.16,20.48,15.7,59.73
"25/796  ""SELE LIFT SRL""",8.9,2.92,9.34,5.35,11.17,11.43,49.11
"25/797  ""ASCENSORI STASI""",5.35,0.86,11.07,0.77,15.63,4.94,38.62
"25/798  ""ASCENSORI STASI""",6.03,4.88,14.87,0.77,14.25,2.5,43.3
"25/800  ""GIANNETTA ASCENSORI SRL""",10.64,9.06,9.34,0.86,5.24,6.57,41.71
"25/801  ""BULGHERINI MC""",6.63,4.5,14.93,0.78,8.07,4.16,39.07
"25/802  ""ANGARONE ASCENSORI SRL""",9.27,5.91,8.7,1.05,6.38,7.49,38.8
"25/805  ""DETTO SRL""",0.13,,1.78,,2.33,10.7,14.94
"25/806  ""SCHUMANN AUFZUEGE GMBH""",7.71,5.79,9.73,0.67,8.26,7.42,39.58
"25/807  ""CEST SRL""",4.19,3.38,5.84,0.84,9.24,3.26,26.75
"25/808  ""ARE SRL""",13.29,4.41,9.59,2.56,31.23,6.79,67.87
"25/809  ""ARE SRL""",3.07,2.46,10.73,1.7,12.1,4.53,34.59
"25/810  ""ARE SRL""",6.83,5.93,4.52,0.96,14.87,5.22,38.33
"25/811  ""ARE SRL""",6.23,5.67,11.21,1.12,8.92,4.92,38.07
"25/812  ""ARE SRL""",8.81,6.52,7.17,1.09,10.56,8.86,43.01
"25/813  ""LGM ELEVATOR SRL""",6.0,2.55,8.73,0.91,9.29,4.37,31.85
"25/814  ""STAR LIFT SRL""",8.84,7.82,24.51,0.17,45.43,10.13,96.9
"25/815  ""DETTO SRL""",13.1,5.0,12.7,0.55,5.81,6.06,43.22
"25/816  ""DETTO SRL""",7.46,2.77,9.8,0.71,3.88,6.85,31.47
"25/819  ""AMMAR SRL""",9.33,3.76,8.72,0.66,16.56,2.4,41.43
"25/820  ""ITACOR SRL""",29.8,10.8,15.4,1.88,71.87,75.19,204.94
"25/822  ""ARE SRL""",6.85,4.05,8.06,0.4,18.43,4.98,42.77
"25/823  ""ARE SRL""",6.52,4.74,8.08,0.76,17.2,5.3,42.6
"25/824  ""ARE SRL""",5.5,4.22,5.5,0.85,8.85,3.83,28.75
"25/825  ""ARE SRL""",4.29,4.27,8.46,1.84,4.12,5.8,28.78
"25/826  ""ARE SRL""",13.22,7.58,10.38,0.93,11.5,8.6,52.21
"25/827  ""ARE SRL""",9.75,7.16,6.69,1.07,5.68,4.84,35.19
"25/828  ""ARE SRL""",6.11,7.55,4.42,0.65,5.26,4.43,28.42
"25/829  ""ARE SRL""",14.82,5.5,6.57,1.11,16.63,10.64,55.27
"25/830  ""ARE SRL""",5.7,3.75,8.25,0.45,8.15,1.43,27.73
"25/831  ""ARE SRL""",4.47,5.95,9.39,0.75,9.27,5.03,34.86
"25/832  ""ARE SRL""",0.83,0.55,0.93,,,,2.31
"25/833  ""ARE SRL""",0.52,,1.58,,0.9,,3.0
"25/834  ""SCHINDLER SPA""",,,,0.44,9.13,8.61,18.18
"25/835  ""MARIPA ASCENSORI SRL""",9.57,8.71,16.42,,19.97,0.95,55.62
"25/836  ""ANGARONE ASCENSORI SRL""",5.96,4.96,7.96,1.05,1.43,2.67,24.03
"25/837  ""CENTER LIFT SRL""",,,,,,0.3,0.3
"25/838  ""TK ELEVATOR ITALIA SPA""",11.64,7.26,15.28,,17.01,9.1,60.29
"25/839  ""SAMER SRL""",2.88,4.56,6.63,1.07,2.72,8.41,26.27
"25/840  ""VIMA ASCENSORI SRL""",8.21,4.46,8.27,0.15,3.13,4.25,28.47
"25/844  ""SAT SRL""",27.16,6.34,19.31,0.32,18.03,20.27,91.43
"25/846  ""CORAL""",3.02,0.65,3.24,0.12,3.1,11.21,21.34
"25/847  ""VIMA ASCENSORI SRL""",2.82,2.71,6.18,0.62,2.28,3.35,17.96
"25/852  ""CORAL""",3.82,2.6,3.0,0.23,,7.84,17.49
"25/856  ""ARE SRL""",4.51,3.24,9.54,,11.99,12.79,42.07
"25/857  ""ARE SRL""",7.86,6.02,6.14,0.78,5.45,7.63,33.88
"25/858  ""ARE SRL""",4.48,4.9,9.23,0.52,8.19,4.62,31.94
"25/859  ""ARE SRL""",5.06,3.78,4.11,0.9,5.13,3.03,22.01
"25/860  ""ARE SRL""",0.22,,0.48,0.17,,,0.87
"25/861  ""ARE SRL""",,,,,4.45,,4.45
"25/862  ""MBB ASCENSORI SRL""",,,,,0.65,,0.65
"25/863  ""ZEUS ELECTROSTATIC SYSTEM SRL""",0.35,,,,,,0.35
"25/864  ""RIAM ASCENSORI SRL""",,,0.35,,0.48,,0.83
"25/868  ""RIAM ASCENSORI SRL""",0.37,,1.27,,0.55,,2.19
"25/870  ""SCHINDLER SPA""",,,0.77,,,,0.77
"25/871  ""SELE LIFT SRL""",5.65,4.61,9.54,0.23,9.5,6.95,36.48
"25/872  ""RIAM ASCENSORI SRL""",,,3.49,,0.52,,4.01
"25/873  ""GRUPPO OCMA SRL""",9.35,10.0,13.01,,9.42,6.16,47.94
"25/874  ""DFV BRASIL LTDA""",0.1,,,,,,0.1
"25/876  ""AMCA ELEVATORI SRL""",1.83,1.29,3.53,0.35,,,7.0
"25/878  ""ARE SRL""",4.07,5.26,5.83,0.74,11.86,6.31,34.07
"25/879  ""FEREGOTTO ELEVATORI SRL""",6.99,1.5,7.19,,14.87,1.35,31.9
"25/880  ""AMMAR SRL""",8.7,6.25,10.84,0.29,12.6,5.82,44.5
"25/881  ""BULGHERINI PU""",20.04,6.31,18.63,,19.12,19.16,83.26
"25/882  ""EP ELEVATORI PREMONTATI SRL""",12.19,5.96,15.09,0.17,11.55,6.77,51.73
"25/884  ""ARE SRL""",0.1,0.28,0.63,,,,1.01
"25/885  ""ARE SRL""",10.57,2.83,12.18,0.87,39.27,5.54,71.26
"25/886  ""ARE SRL""",5.43,1.29,9.9,0.48,13.72,4.9,35.72
"25/887  ""ARE SRL""",9.88,7.57,14.45,0.1,9.04,4.66,45.7
"25/888  ""ARE SRL""",8.79,6.07,15.44,0.1,15.34,4.95,50.69
"25/889  ""ARE SRL""",4.23,5.54,8.66,0.45,9.23,4.54,32.65
"25/890  ""ARE SRL""",4.91,7.62,5.95,0.83,16.55,2.03,37.89
"25/891  ""SAT SRL""",0.3,,,,,,0.3
"25/893  ""ARE SRL""",4.19,3.48,12.49,0.87,10.59,6.41,38.03
"25/894  ""ARE SRL""",18.11,7.4,13.08,0.55,9.68,3.13,51.95
"25/895  ""ESA ELECOMP SERVIZI ASCENSORI SRL""",0.82,7.5,7.28,0.95,25.09,12.04,53.68
"25/897  ""GD LIFT SRL""",4.49,3.5,8.33,0.64,6.68,2.5,26.14
"25/901  ""ARE SRL""",6.05,5.72,8.45,0.15,7.3,4.4,32.07
"25/902  ""ARE SRL""",10.06,3.56,10.04,0.52,17.88,4.62,46.68
"25/903  ""ARE SRL""",7.42,6.43,9.37,0.13,10.31,6.55,40.21
"25/904  ""ARE SRL""",8.36,5.48,10.08,,10.19,1.76,35.87
"25/905  ""ARE SRL""",6.09,6.43,10.96,,14.87,3.36,41.71
"25/906  ""ARE SRL""",7.48,3.05,8.73,0.17,13.23,2.6,35.26
"25/907  ""SCHINDLER SPA""",8.75,7.79,12.85,0.98,3.72,7.04,41.13
"25/908  ""GUNESTEKIN REFINERY SRL""",,0.98,2.67,0.23,0.95,3.9,8.73
"25/909  ""SELE LIFT SRL""",7.0,4.35,10.7,0.1,10.72,4.97,37.84
"25/910  ""RIAM ASCENSORI SRL""",,,2.67,0.18,0.9,,3.75
"25/911  ""ARE SRL""",7.17,6.39,10.06,,26.45,4.62,54.69
"25/913  ""AMMAR SRL""",0.86,5.1,8.17,,7.09,0.58,21.8
"25/914  ""SCHINDLER SPA""",,0.96,,0.33,,,1.29
"25/915  ""HECOIT SRL""",0.48,0.17,1.54,0.15,0.5,,2.84
"25/918  ""BULGHERINI PU""",0.57,0.55,1.1,0.12,1.32,,3.66
"25/920  ""SELE LIFT SRL""",0.18,3.86,1.74,0.5,6.6,,12.88
"25/921  ""AIRGAS NORDEST SRL""",17.31,5.56,10.44,0.55,20.32,3.52,57.7
"25/923  ""SAT SRL""",,,,0.08,,,0.08
"25/924  ""LGM ELEVATOR SRL""",13.06,3.02,15.48,,13.59,3.52,48.67
"25/927  ""ARE SRL""",6.18,6.29,12.45,,29.07,6.37,60.36
"25/928  ""ARE SRL""",3.29,6.08,8.63,,5.85,3.04,26.89
"25/929  ""ARE SRL""",8.15,2.48,7.69,,10.51,5.28,34.11
"25/930  ""ARE SRL""",4.51,2.5,12.75,,15.14,2.93,37.83
"25/931  ""OMET SRL""",17.02,3.91,7.61,0.32,3.67,,32.53
"25/933  ""CSM LIFT SRLS""",11.84,5.87,11.72,,9.06,8.05,46.54
"25/937  ""RIAM ASCENSORI SRL""",,,,,3.28,,3.28
"25/940  ""ANGARONE ASCENSORI SRL""",8.17,5.68,9.12,,5.85,4.23,33.05
"25/941  ""COBALTO SNC""",20.9,15.21,11.66,0.15,14.5,10.8,73.22
"25/942  ""ANGARONE ASCENSORI SRL""",1.0,5.67,9.94,,8.86,6.23,31.7
"25/943  ""ELECTRO-LIFT SRL""",,,,,31.16,,31.16
"25/944  ""ARE SRL""",9.38,2.94,9.71,,33.07,3.73,58.83
"25/945  ""ARE SRL""",7.89,9.88,16.9,,16.84,3.53,55.04
"25/946  ""ARE SRL""",6.62,2.18,9.15,,14.37,3.55,35.87
