Nr. Commessa,"IMBA  "" IMBALLAGGIO""","NEST  "" TAGLIO / NESTING""","PIEG  "" PIEGATURA""","PROD  "" PRODUZIONE""","PROG  "" PROGETTAZIONE""","SALD  "" SALDATURA""",Totale Ore
"25/158  ""ARE SRL""",8.13,3.44,14.51,,6.72,2.25,35.05
"25/159  ""ARE SRL""",5.63,5.76,15.72,,9.16,5.17,41.44
"25/160  ""ARE SRL""",8.91,4.9,10.05,,14.19,0.95,39.0
"25/161  ""ARE SRL""",6.28,1.1,10.08,,4.78,8.39,30.63
"25/162  ""ARE SRL""",12.32,1.61,12.97,,7.32,2.13,36.35
"25/163  ""AMMAR SRL""",8.82,5.78,10.68,,24.17,5.47,54.92
"25/164  ""ESA ELECOMP SERVIZI ASCENSORI SRL""",5.73,6.72,9.21,,18.59,3.6,43.85
"25/165  ""BONEDIL SRL""",20.83,7.36,21.55,,27.16,11.67,88.57
"25/167  ""ARE SRL""",,,0.67,,0.68,,1.35
"25/168  ""BECONSULT SRL""",,,,,19.03,0.27,19.3
"25/169  ""ALPEMAC SRL""",21.1,5.63,13.34,,8.41,8.84,57.32
"25/170  ""PANSERI ASCENSORI SRL""",0.25,,0.4,,1.72,,2.37
"25/171  ""ARE SRL""",0.84,,0.35,,1.05,,2.24
"25/172  ""BULGHERINI PU""",7.67,2.77,13.91,1.05,5.73,5.63,36.76
"25/173  ""RIAM ASCENSORI SRL""",1.64,1.0,0.87,,5.4,,8.91
"25/174  ""RIAM ASCENSORI SRL""",8.99,5.72,18.82,,8.77,5.47,47.77
"25/175  ""RIAM ASCENSORI SRL""",11.02,5.05,9.92,,17.06,1.78,44.83
"25/176  ""LIFT 2000 GMBH-SRL""",23.1,7.74,35.29,,52.22,29.09,147.44
"25/177  ""DB ELEV SRL""",0.17,,,,,,0.17
"25/178  ""LIFT 2000 GMBH-SRL""",18.26,7.56,17.54,,17.86,8.45,69.67
"25/179  ""LIFT 2000 GMBH-SRL""",15.79,7.85,16.09,,3.97,12.75,56.45
"25/180  ""BOSS TECHNOLOGIES SRL""",17.03,,9.73,,2.58,3.6,32.94
"25/181  ""CEST SRL""",33.97,8.43,35.1,,30.74,11.53,119.77
"25/182  ""CSM LIFT SRLS""",7.83,2.67,6.56,,5.19,,22.25
"25/183  ""PAPILLO ASCENSORI SRL""",25.13,25.33,39.34,,82.27,19.57,191.64
"25/184  ""ARE SRL""",6.49,7.69,8.09,,48.65,0.78,71.7
"25/185  ""ARE SRL""",4.74,5.35,9.31,,5.73,3.73,28.86
"25/186  ""ARE SRL""",6.53,7.14,7.9,,9.71,,31.28
"25/187  ""ARE SRL""",8.38,9.56,15.58,,80.86,0.73,115.11
"25/188  ""ARE SRL""",6.88,5.4,12.13,,6.82,,31.23
"25/189  ""AMMAR SRL""",6.53,7.73,11.64,,10.46,6.8,43.16
"25/190  ""AMMAR SRL""",0.55,1.63,7.01,,6.63,2.28,18.1
"25/191  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",27.01,1.42,9.84,,,41.3,79.57
"25/192  ""SCHINDLER SPA""",,,,,0.5,,0.5
"25/193  ""CORAL""",18.23,4.46,17.83,,7.48,32.95,80.95
"25/194  ""GRIMEL SRL""",29.5,10.17,41.05,,122.65,59.57,262.94
"25/195  ""SAT SRL""",,,0.68,,,,0.68
"25/196  ""ELMA SPA""",5.79,3.32,10.32,,6.84,3.55,29.82
"25/197  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",0.1,0.12,,,,,0.22
"25/198  ""DETTO SRL""",0.83,2.1,1.87,,0.57,2.67,8.04
"25/199  ""FAMM SRL""",0.25,,,,,,0.25
"25/200  ""TK ELEVATOR ITALIA SPA""",10.48,3.85,14.47,,21.68,7.34,57.82
"25/201  ""BULGHERINI PU""",5.54,4.1,16.61,,6.76,4.57,37.58
"25/202  ""SAT SRL""",2.56,,,,,41.51,44.07
